name,email,country
Blandskron SpA,contacto@blandskron.cl,Chile
Patagonia Labs SpA,,Chile
Andes Retail Ltda,ventas@andesretail.cl,Chile
Valpo Logistic Spa,ops@valpologistic.cl,Chile
Santiago Tech SpA,it@santiagotech.cl,Chile
Cordillera Foods Ltda,hola@cordillerafoods.cl,Chile
Atacama Mining SA,compras@atacamamining.cl,Chile
Pacific Export SpA,,Perú
Lima Softworks SAC,soporte@limasoft.pe,Perú
Bogotá Cloud SAS,,Colombia
Quito Digital Cia Ltda,hola@quitodigital.ec,Ecuador
Montevideo Services SRL,info@mvservices.uy,Uruguay
Asunción Data SA,contacto@asunciondata.py,Paraguay
Pampa Energy SA,contacto@pampaenergy.ar,Argentina
Santa Cruz Analytics SRL,ventas@santacruzanalytics.bo,Bolivia
Medellín Dev House SAS,contacto@medelldev.co,Colombia
Guayaquil Systems SA,,Ecuador
Antofagasta Consulting SpA,hola@antoconsulting.cl,Chile
Rancagua Agro Ltda,ventas@rancaguaagro.cl,Chile
Temuco Forestal SpA,,Chile
